name: 159db444-98ee-43ef-9b7f-4bad677ea8c2 num_items: 20002
token, class_id, token_value, token_tf, token_df
друг, @default_class, 0.0003347352903801948, 788.0, 575.0
опубликовать, @default_class, 0.00032411550637334585, 763.0, 512.0
побережье, @default_class, 0.00013423395284917206, 316.0, 220.0
римский, @default_class, 0.00017161555297207087, 404.0, 222.0
немного, @default_class, 0.00010322420712327585, 243.0, 219.0
среднее, @default_class, 0.00015717266069259495, 370.0, 280.0
жанр, @default_class, 0.00015207516844384372, 358.0, 242.0
продолжать, @default_class, 0.0003729664604179561, 878.0, 705.0
1935_год, @default_class, 0.00012871166109107435, 303.0, 254.0
задача, @default_class, 0.0002773884916678071, 653.0, 384.0
линия, @default_class, 0.0005284399958327413, 1244.0, 601.0
сохранить, @default_class, 0.00014655289123766124, 345.0, 300.0
судьба, @default_class, 0.00011002086102962494, 259.0, 214.0
граница, @default_class, 0.00046344695147126913, 1091.0, 730.0
интерес, @default_class, 0.00019497906032484025, 459.0, 369.0
вынудить, @default_class, 0.00010704732267186046, 252.0, 221.0
временной, @default_class, 0.00012106542999390513, 285.0, 237.0
второе, @default_class, 0.0002540250134188682, 598.0, 501.0
альбом, @default_class, 0.0007136488566175103, 1680.0, 463.0
близ, @default_class, 0.00013975623005535454, 329.0, 288.0
родина, @default_class, 0.00010025066876551136, 236.0, 219.0
летом, @default_class, 0.0002064484142465517, 486.0, 412.0
любовь, @default_class, 0.00017713783017825335, 417.0, 277.0
достигнуть, @default_class, 0.00030627427622675896, 721.0, 511.0
причём, @default_class, 0.00023788293765392154, 560.0, 430.0
продолжить, @default_class, 0.00016269493789877743, 383.0, 339.0
вынужденный, @default_class, 9.982587653212249e-05, 235.0, 213.0
длина, @default_class, 0.0004107728600502014, 967.0, 684.0
восстановление, @default_class, 0.00014357935287989676, 338.0, 253.0
рынок, @default_class, 0.00016227015294134617, 382.0, 255.0
телефонный_код, @default_class, 0.00039590519736520946, 932.0, 932.0
20, @default_class, 0.0005556265823543072, 1308.0, 1063.0
связь, @default_class, 0.0007998814107850194, 1883.0, 1311.0
эпизод, @default_class, 0.0001860584452515468, 438.0, 207.0
2010, @default_class, 0.000198377383640036, 467.0, 377.0
спортсмен, @default_class, 0.00034493027487769723, 812.0, 562.0
16, @default_class, 0.0003725416900124401, 877.0, 753.0
любой, @default_class, 0.0002238648448837921, 527.0, 405.0
месяц, @default_class, 0.00034323110594414175, 808.0, 597.0
1917_год, @default_class, 0.00017076596850529313, 402.0, 288.0
200, @default_class, 0.00013805706112179905, 325.0, 290.0
область, @default_class, 0.0013249230105429888, 3119.0, 1981.0
битва, @default_class, 0.00024340522941201925, 573.0, 345.0
май, @default_class, 0.0005832380265928805, 1373.0, 998.0
дивизия, @default_class, 0.00046302215196192265, 1090.0, 319.0
округ, @default_class, 0.0001767130452208221, 416.0, 237.0
верхний, @default_class, 0.0002544497838243842, 599.0, 406.0
избранный, @default_class, 0.00014145539898891002, 333.0, 259.0
польза, @default_class, 0.00010194983042310923, 240.0, 206.0
60, @default_class, 0.00030032722861506045, 707.0, 643.0
экономический, @default_class, 0.0001750138762872666, 412.0, 281.0
начало_xx, @default_class, 0.0001091712765628472, 257.0, 221.0
присутствовать, @default_class, 0.00019073115254286677, 449.0, 368.0
молодая, @default_class, 0.0002332102449145168, 549.0, 447.0
проживать, @default_class, 0.0002697422751225531, 635.0, 489.0
2004, @default_class, 0.00010322420712327585, 243.0, 211.0
рассказ, @default_class, 0.0001966782147064805, 463.0, 250.0
объём, @default_class, 0.0001372074766550213, 323.0, 245.0
поступить, @default_class, 0.0002060236147372052, 485.0, 412.0
ассоциация, @default_class, 0.0001346587378066033, 317.0, 219.0
объединить, @default_class, 0.00020432446035556495, 481.0, 372.0
кладбище, @default_class, 0.00016821722965687513, 396.0, 247.0
сельский, @default_class, 0.0002803620300255716, 660.0, 498.0
музыкант, @default_class, 0.0001860584452515468, 438.0, 270.0
6, @default_class, 0.0007803410408087075, 1837.0, 1417.0
сторона, @default_class, 0.0009090526727959514, 2140.0, 1278.0
оборона, @default_class, 0.00019880216859746724, 468.0, 289.0
владение, @default_class, 0.0002493523061275482, 587.0, 328.0
рождение, @default_class, 0.00011214481492061168, 264.0, 218.0
техника, @default_class, 0.00017586346075404435, 414.0, 310.0
владеть, @default_class, 0.00010747211490524933, 253.0, 208.0
ранее, @default_class, 0.000394206028431654, 928.0, 759.0
вестись, @default_class, 0.00012488853826653212, 294.0, 253.0
2017_год, @default_class, 0.0001575974456500262, 371.0, 267.0
великое, @default_class, 0.0001886071840999648, 444.0, 320.0
информация, @default_class, 0.0003113717830274254, 733.0, 437.0
болезнь, @default_class, 0.00013380915333982557, 315.0, 218.0
слишком, @default_class, 0.00012149021495133638, 286.0, 237.0
партия, @default_class, 0.0006656474433839321, 1567.0, 598.0
действующий, @default_class, 0.00010322420712327585, 243.0, 205.0
рсфср, @default_class, 0.0001482520456193015, 349.0, 255.0
крест, @default_class, 0.00016057098400779068, 378.0, 206.0
октябрь, @default_class, 0.0004727923369500786, 1113.0, 789.0
рамка, @default_class, 0.00026591913774609566, 626.0, 513.0
1987_год, @default_class, 0.00015887182962615043, 374.0, 320.0
время_мировой, @default_class, 9.982587653212249e-05, 235.0, 207.0
21, @default_class, 0.0001835097064031288, 432.0, 392.0
настоящий, @default_class, 0.00011384398385416716, 268.0, 230.0
сергей, @default_class, 0.0002684679056983441, 632.0, 354.0
эпоха, @default_class, 0.00017204033792950213, 405.0, 305.0
сумма, @default_class, 0.0001372074766550213, 323.0, 237.0
австралия, @default_class, 0.0001847840758273378, 435.0, 246.0
капитан, @default_class, 0.0002374581526964903, 559.0, 323.0
пора, @default_class, 0.00012913646060042083, 304.0, 269.0
фигура, @default_class, 0.00014527850726153702, 342.0, 218.0
весьма, @default_class, 0.00015547349175903946, 366.0, 283.0
короткий, @default_class, 0.000197103014215827, 464.0, 377.0
ничто, @default_class, 0.00013210999895818532, 311.0, 257.0
публикация, @default_class, 0.0001172423071693629, 276.0, 210.0
либо, @default_class, 0.0003194427990820259, 752.0, 401.0
заменить, @default_class, 0.0002344846143387258, 552.0, 443.0
красный, @default_class, 0.00032284113694913685, 760.0, 525.0
играть, @default_class, 0.0006057519349269569, 1426.0, 844.0
творчество, @default_class, 0.00015207516844384372, 358.0, 265.0
соответствовать, @default_class, 0.0001295612455578521, 305.0, 249.0
поэтому, @default_class, 0.000494881474878639, 1165.0, 882.0
1948_год, @default_class, 0.00012488853826653212, 294.0, 256.0
япония, @default_class, 0.0002765389217529446, 651.0, 366.0
принцип, @default_class, 0.00019030635303352028, 448.0, 298.0
закрытый, @default_class, 0.0001444289373466745, 340.0, 280.0
богатый, @default_class, 0.0001575974456500262, 371.0, 308.0
зритель, @default_class, 0.00015249995340127498, 359.0, 238.0
лист, @default_class, 0.00022938712208997458, 540.0, 312.0
окончательно, @default_class, 0.00012106542999390513, 285.0, 249.0
изображение, @default_class, 0.000292680982965976, 689.0, 361.0
1954_год, @default_class, 0.0001376322761643678, 324.0, 278.0
надежда, @default_class, 0.00010874649160541594, 256.0, 218.0
противник, @default_class, 0.00040100267506204545, 944.0, 435.0
возглавлять, @default_class, 0.0001873328146757558, 441.0, 381.0
это_время, @default_class, 0.0003903828910551965, 919.0, 704.0
масса, @default_class, 0.0001631197374081239, 384.0, 255.0
окончание, @default_class, 0.0003398327680770308, 800.0, 667.0
порядок, @default_class, 0.00028078682953491807, 661.0, 472.0
составлять_человек, @default_class, 0.00014145539898891002, 333.0, 327.0
срок, @default_class, 0.00017331472190562636, 408.0, 280.0
фон, @default_class, 0.00023915732163004577, 563.0, 355.0
серебряный, @default_class, 0.00013168519944883883, 310.0, 206.0
средство, @default_class, 0.0003712673205882311, 874.0, 568.0
выбрать, @default_class, 0.00016949159908108413, 399.0, 335.0
художественный, @default_class, 0.00017119076801463962, 403.0, 263.0
мастерский, @default_class, 0.00012318938388489187, 290.0, 216.0
чёрный, @default_class, 0.0003126461524516344, 736.0, 449.0
взгляд, @default_class, 0.00012446375330910087, 293.0, 226.0
комитет, @default_class, 0.00024467959883622825, 576.0, 351.0
железный_дорога, @default_class, 0.00022046650701668113, 519.0, 281.0
теория, @default_class, 0.00022683838324155658, 534.0, 281.0
изначально, @default_class, 0.00014230496890377253, 335.0, 287.0
1958_год, @default_class, 0.00013380915333982557, 315.0, 274.0
тело, @default_class, 0.0008427852881141007, 1984.0, 1546.0
отдел, @default_class, 0.0002225904754595831, 524.0, 329.0
высота, @default_class, 0.00035979796666651964, 847.0, 578.0
памятник, @default_class, 0.0002531754144001752, 596.0, 324.0
установленный, @default_class, 0.00016099578351713717, 379.0, 312.0
поэт, @default_class, 0.0001762882457114756, 415.0, 257.0
февраль, @default_class, 0.00046132298302836716, 1086.0, 793.0
подписать, @default_class, 0.00012021584552712739, 283.0, 239.0
исполнение, @default_class, 0.00018393449136056006, 433.0, 329.0
сборная, @default_class, 0.0002051740448223427, 483.0, 278.0
соответственно, @default_class, 0.00017288992239627987, 407.0, 351.0
машина, @default_class, 0.0003151948913000524, 742.0, 373.0
2008, @default_class, 0.00014357935287989676, 338.0, 276.0
музыкальный, @default_class, 0.00030712387524545193, 723.0, 405.0
совместный, @default_class, 0.00010449857654748484, 246.0, 209.0
приказ, @default_class, 0.0001792617840692401, 422.0, 309.0
1973_год, @default_class, 0.00012743729166686535, 300.0, 250.0
труд, @default_class, 0.00032199156703427434, 758.0, 560.0
память, @default_class, 0.00023660856822971255, 557.0, 363.0
похоронный, @default_class, 0.00012276458437554538, 289.0, 281.0
разный, @default_class, 0.0005216433200985193, 1228.0, 917.0
горный, @default_class, 0.00013550832227338105, 319.0, 220.0
автомобиль, @default_class, 0.00041714473627507687, 982.0, 277.0
находить, @default_class, 0.00011002086102962494, 259.0, 207.0
установить, @default_class, 0.00038358624442480505, 903.0, 662.0
орден, @default_class, 0.00016142056847456843, 380.0, 230.0
восстановить, @default_class, 0.00018648323020897806, 439.0, 355.0
традиционный, @default_class, 0.00020814756862819195, 490.0, 364.0
рука, @default_class, 0.0003343104908708483, 787.0, 541.0
командование, @default_class, 0.0002739901829045266, 645.0, 351.0
дух, @default_class, 0.0001091712765628472, 257.0, 208.0
основатель, @default_class, 0.0001762882457114756, 415.0, 364.0
присутствие, @default_class, 0.00010662253043847159, 251.0, 224.0
неизвестный, @default_class, 0.00013253478391561657, 312.0, 259.0
глава, @default_class, 0.0004502784286160022, 1060.0, 679.0
отправиться, @default_class, 0.00024467959883622825, 576.0, 414.0
граф, @default_class, 0.0003542756603565067, 834.0, 320.0
следующий, @default_class, 0.000882290827576071, 2077.0, 1511.0
французский, @default_class, 0.0005700694746337831, 1342.0, 750.0
1977_год, @default_class, 0.00012191500718472525, 287.0, 254.0
наиболее_известный, @default_class, 0.00010152504546567798, 239.0, 225.0
живой, @default_class, 0.00010279941488988698, 242.0, 214.0
низкий, @default_class, 0.0001091712765628472, 257.0, 213.0
xix_век, @default_class, 0.00011766709940275177, 277.0, 247.0
технический, @default_class, 0.00019455426081549376, 458.0, 348.0
владимир, @default_class, 0.00033898319816216826, 798.0, 462.0
сотрудник, @default_class, 0.0001835097064031288, 432.0, 303.0
собрать, @default_class, 0.0001699163840385154, 400.0, 330.0
основать, @default_class, 0.0008092268253676593, 1905.0, 1462.0
ученик, @default_class, 0.0001754386757966131, 413.0, 287.0
1939_год, @default_class, 0.00015207516844384372, 358.0, 303.0
местность, @default_class, 0.0001495264150435105, 352.0, 279.0
фонд, @default_class, 0.00020050133753102273, 472.0, 271.0
текст, @default_class, 0.00030499990680254996, 718.0, 387.0
прошлое, @default_class, 0.00018181053746957332, 428.0, 359.0
дмитрий, @default_class, 0.0001346587378066033, 317.0, 205.0
север, @default_class, 0.00035894836764782667, 845.0, 632.0
руководство, @default_class, 0.0005709190736524761, 1344.0, 937.0
белый, @default_class, 0.00021876735263504088, 515.0, 381.0
лидер, @default_class, 0.00024085647601168603, 567.0, 399.0
маленький, @default_class, 0.00023108629102353007, 544.0, 458.0
1976_год, @default_class, 0.00012871166109107435, 303.0, 254.0
предприятие, @default_class, 0.00032326593645848334, 761.0, 376.0
солдат, @default_class, 0.00022216567595023662, 523.0, 314.0
советский, @default_class, 0.0008699719328433275, 2048.0, 1207.0
известно, @default_class, 0.00017968658357858658, 423.0, 352.0
друг_друг, @default_class, 0.0001660932757658884, 391.0, 323.0
участие, @default_class, 0.0005734678125008941, 1350.0, 1007.0
школа, @default_class, 0.0008614761172793806, 2028.0, 1136.0
1946_год, @default_class, 0.00014655289123766124, 345.0, 313.0
относительно, @default_class, 0.00016354452236555517, 385.0, 307.0
произведение, @default_class, 0.0004082241212017834, 961.0, 525.0
2003_год, @default_class, 0.0003139205218758434, 739.0, 576.0
виктор, @default_class, 0.00018690802971832454, 440.0, 272.0
70, @default_class, 0.0001011002532322891, 238.0, 217.0
королевский, @default_class, 0.00015419912233483046, 363.0, 239.0
дом, @default_class, 0.001065800548531115, 2509.0, 1194.0
оказываться, @default_class, 0.00013933144509792328, 328.0, 229.0
1989_год, @default_class, 0.00018393449136056006, 433.0, 378.0
1957_год, @default_class, 0.00011384398385416716, 268.0, 233.0
километр, @default_class, 0.0005178201827220619, 1219.0, 740.0
использование, @default_class, 0.0004855360893998295, 1143.0, 743.0
старший, @default_class, 0.0002344846143387258, 552.0, 434.0
i, @default_class, 0.0004485792596824467, 1056.0, 607.0
прибыть, @default_class, 0.00024977707653306425, 588.0, 415.0
отец, @default_class, 0.0006732936599291861, 1585.0, 962.0
генерал, @default_class, 0.0002858843363355845, 673.0, 326.0
сезон, @default_class, 0.000795208674389869, 1872.0, 743.0
чемпион, @default_class, 0.00013933144509792328, 328.0, 241.0
сын, @default_class, 0.0009290178422816098, 2187.0, 1148.0
тур, @default_class, 0.0001563230762258172, 368.0, 223.0
атака, @default_class, 0.00017883699911180884, 421.0, 238.0
начинать, @default_class, 0.0005144218448549509, 1211.0, 886.0
протяжение, @default_class, 0.00019497906032484025, 459.0, 402.0
около, @default_class, 0.0006613995647057891, 1557.0, 1148.0
1991_год, @default_class, 0.00023363502987194806, 550.0, 460.0
фактически, @default_class, 0.00016481889178976417, 388.0, 323.0
журнал, @default_class, 0.0003963299677707255, 933.0, 544.0
участвовать, @default_class, 0.0007735443650744855, 1821.0, 1306.0
сентябрь, @default_class, 0.00048213775153271854, 1135.0, 785.0
проект, @default_class, 0.0008185721817426383, 1927.0, 883.0
позволить, @default_class, 0.0002183425531256944, 514.0, 406.0
писать, @default_class, 0.0003716920909937471, 875.0, 555.0
300, @default_class, 0.0001023746226564981, 241.0, 218.0
переименовать, @default_class, 0.00023405982938129455, 551.0, 430.0
принимать_участие, @default_class, 0.0008113507647067308, 1910.0, 1692.0
район_житомирский, @default_class, 0.00032029239810071886, 754.0, 752.0
весной, @default_class, 0.00010577295324765146, 249.0, 218.0
москва, @default_class, 0.000968523439951241, 2280.0, 1132.0
край, @default_class, 0.00028078682953491807, 661.0, 467.0
сохраниться, @default_class, 0.0002603968605399132, 613.0, 423.0
выступать, @default_class, 0.0007425346411764622, 1748.0, 1191.0
премия, @default_class, 0.00021282027591951191, 501.0, 322.0
будущее, @default_class, 0.00017288992239627987, 407.0, 326.0
версия, @default_class, 0.0006252923049032688, 1472.0, 776.0
зал, @default_class, 0.00012913646060042083, 304.0, 205.0
500, @default_class, 0.00011894146882696077, 280.0, 233.0
язык, @default_class, 0.0006626739050261676, 1560.0, 724.0
английский, @default_class, 0.00036871855263598263, 868.0, 575.0
актёр, @default_class, 0.00022428962984122336, 528.0, 307.0
необходимость, @default_class, 0.00015844703011680394, 373.0, 289.0
составлять, @default_class, 0.0009370888583362103, 2206.0, 1705.0
многочисленный, @default_class, 0.0002578481216914952, 607.0, 513.0
вдоль, @default_class, 0.0001376322761643678, 324.0, 259.0
способствовать, @default_class, 0.00012488853826653212, 294.0, 248.0
различный, @default_class, 0.0007578270742669702, 1784.0, 1290.0
древние, @default_class, 0.00012149021495133638, 286.0, 231.0
великий_отечественный, @default_class, 0.0001656684762565419, 390.0, 333.0
праздник, @default_class, 0.0001631197374081239, 384.0, 207.0
1970_год, @default_class, 0.00014995121455285698, 353.0, 312.0
области.############входить_состав, @default_class, 8.665736095281318e-05, 204.0, 204.0
экипаж, @default_class, 0.00018775761418510228, 442.0, 211.0
государство, @default_class, 0.00044008344411849976, 1036.0, 571.0
наш_э, @default_class, 0.0003678689827211201, 866.0, 231.0
удаться, @default_class, 0.0003474790137261152, 818.0, 576.0
январь, @default_class, 0.0006584260263480246, 1550.0, 1064.0
полиция, @default_class, 0.00016184535343199968, 381.0, 246.0
присоединиться, @default_class, 0.00013168519944883883, 310.0, 257.0
конструкция, @default_class, 0.0002060236147372052, 485.0, 283.0
назвать_честь, @default_class, 0.00012913646060042083, 304.0, 287.0
скорость, @default_class, 0.00018690802971832454, 440.0, 261.0
ii, @default_class, 0.0004490040591917932, 1057.0, 638.0
1999_год, @default_class, 0.00024510439834557474, 577.0, 454.0
смерть, @default_class, 0.0006567268283106387, 1546.0, 952.0
епископ, @default_class, 0.0002552993828430772, 601.0, 248.0
посещать, @default_class, 0.00010025066876551136, 236.0, 209.0
согласно, @default_class, 0.00046089821262285113, 1085.0, 784.0
глубина, @default_class, 0.0001172423071693629, 276.0, 210.0
практически, @default_class, 0.00019030635303352028, 448.0, 388.0
метод, @default_class, 0.00030287596746347845, 713.0, 373.0
отличие, @default_class, 0.00032836341415531933, 773.0, 619.0
символ, @default_class, 0.00018988156807608902, 447.0, 243.0
выполнять, @default_class, 0.00011426876881159842, 269.0, 234.0
сооружение, @default_class, 0.0001295612455578521, 305.0, 213.0
изучать, @default_class, 0.00010407378431409597, 245.0, 216.0
23, @default_class, 0.00015334953786805272, 361.0, 312.0
вести, @default_class, 0.0003334609209559858, 785.0, 642.0
сообщить, @default_class, 0.00015292475291062146, 360.0, 237.0
италия, @default_class, 0.00034068236709572375, 802.0, 453.0
далее, @default_class, 0.0006133981514722109, 1444.0, 913.0
вид, @default_class, 0.0013937391340732574, 3281.0, 1867.0
года.############ть, @default_class, 0.0001372074766550213, 323.0, 307.0
деревянный, @default_class, 0.0001270125067094341, 299.0, 209.0
быстро, @default_class, 0.00017034118354786187, 401.0, 347.0
оценка, @default_class, 0.00018096095300279558, 426.0, 295.0
полный, @default_class, 0.0004247909819241613, 1000.0, 765.0
окончить, @default_class, 0.0002480779367033392, 584.0, 513.0
состояние, @default_class, 0.0005424580886028707, 1277.0, 870.0
среди, @default_class, 0.0008024301496334374, 1889.0, 1363.0
князь, @default_class, 0.00028418516740202904, 669.0, 290.0
административный_центр, @default_class, 0.0003317617520224303, 781.0, 744.0
изучение, @default_class, 0.00022089130652602762, 520.0, 342.0
открытие, @default_class, 0.00020262529142200947, 477.0, 367.0
из-за, @default_class, 0.0007684468873776495, 1809.0, 1276.0
заниматься, @default_class, 0.0004693940281867981, 1105.0, 889.0
входить, @default_class, 0.0005785652901977301, 1362.0, 1138.0
1990_год, @default_class, 0.0002145194448530674, 505.0, 426.0
площадь_житомирский, @default_class, 0.00013210999895818532, 311.0, 311.0
список, @default_class, 0.00043880907469429076, 1033.0, 707.0
против, @default_class, 0.0007947839330881834, 1871.0, 1083.0
семья, @default_class, 0.0008049788884818554, 1895.0, 1268.0
николай, @default_class, 0.00032156676752492785, 757.0, 484.0
орган, @default_class, 0.00019965175306424499, 470.0, 292.0
джон, @default_class, 0.00032156676752492785, 757.0, 438.0
украинский, @default_class, 0.00021027153707109392, 495.0, 253.0
11, @default_class, 0.00043498596642166376, 1024.0, 852.0
включить, @default_class, 0.00024425479932688177, 575.0, 486.0
университет, @default_class, 0.00068688701139763, 1617.0, 768.0
главный, @default_class, 0.0006499302107840776, 1530.0, 1101.0
позиция, @default_class, 0.00032538987579755485, 766.0, 458.0
жить, @default_class, 0.0006146725500002503, 1447.0, 1068.0
1913_год, @default_class, 0.00012021584552712739, 283.0, 226.0
возникнуть, @default_class, 0.00018096095300279558, 426.0, 386.0
класс, @default_class, 0.000389533321140334, 917.0, 609.0
большинство, @default_class, 0.0004532519669737667, 1067.0, 775.0
случай, @default_class, 0.0006690457812510431, 1575.0, 919.0
термин, @default_class, 0.00014400413783732802, 339.0, 240.0
знак, @default_class, 0.0001779874146450311, 419.0, 289.0
называть, @default_class, 0.0006643731030635536, 1564.0, 1135.0
московский, @default_class, 0.0005692198756150901, 1340.0, 733.0
собрание, @default_class, 0.0001792617840692401, 422.0, 273.0
подобный, @default_class, 0.00024595396826043725, 579.0, 462.0
1959_год, @default_class, 0.0001295612455578521, 305.0, 267.0
1923_год, @default_class, 0.00011809189163614064, 278.0, 234.0
ход, @default_class, 0.0006482310127466917, 1526.0, 935.0
